ரேடியோ அதிர்வெண் முடுக்கிகள், துகள்கள் நேரடியாக முடுக்குகிறது.	Radio athirven mudikkigal, thugalkal neradiyaga mudukukirathu.
அக்காலத்தில் அமைப்பாக்கம், தொழிற்சங்கம், இதழ், பரப்புரை, வெளியீடு, கொள்கைக் கல்வி ஆகிய துறையில் பணியாற்றினார்.	akkalathil amaipakkam, thozhirsangam, idhazal, parappurai, veliyidu, kollkai kalvi agiya thuraiyil paniyarinar.
கிரேக்கக் கட்டிடக்கலை சிறப்பாக தூண்களையும், வளைகளையும் கொண்ட அமைப்பு முறையிலானது.	grekka kattidakalai sirappaga thoongalaiyum, valaigalaiyum konda amaippu murailanadhu.
மேலும், ஜாக்சன்வில்லி முதியோர் இல்லத்தில் ஏழாண்டுகள் செயல்;ஆளராக இருந்தார்.	mellum, johnsonvilli mudiyur illathil ezhuandhugal seyal;aalaraga irundhar.
இதனால் முப் பெரும் உற்பத்தியாளர்களின் பல்வேறு தொழிற்சாலைகளை மூடப்பட்டன.	idhanal mup perum urpathiyalargalin palveru thozhilsalaigalai mudapattana.
இவர் பல திரைப்படங்களிலும் மற்றும் பல தொலைக்காட்சி தொடர்களிலும் நடித்ததன் மூலம் புகழ் பென்ற நடிகர் ஆனார்.	ivar pala thiraipadangalilum matrum pala thollaikatchi thodargalilum nadithathan moolam pugazh penra nadigar aanarr.
அந்த அறிவே பின்னாளில் அலெக்சாண்டரை உலகம் முழுமையையும் சுற்றிவந்து வெற்றிகொள்ள வழிவகுத்தது.	andha arrive pinnalill alexanderai ulgam muzhumaiyum sutrivandhu vetrikolla vazhivaguthadhu.
பின்பு தொழில்சார் கல்வித் துறையில் ஆர்வம்காட்டி தொழில்சார் கல்வித்துறையை நிறைவு செய்த இவர், தொழில் ரீதியாக இந்தியன் கெமிகல் நிறுவனத்தின் விற்பனை முகவராகப் பணியாற்றி வருகின்றார்.	pinbhu thozhilsar kalvi thoraiyil arvamkatti thozhilsar kalvithoraiyai niraivu saidha ivar, thozhil ridhiyaga indhiyan chemical niruvanathin virpanai mugavaraga paniyatri varukinrar.
ஆசீவக அறிவியலான வானியலில் இவர் மிகுந்த தேர்ச்சி பெற்றிருந்ததால் இவர் கணி நந்தாசிரியன் என்றும் சிறப்பிக்கப்பட்டுள்ளதை மாங்குளம் கல்வெட்டால் அறிய முடிந்தது.	aasevaga aariviyalana vaniyalill ivar migundha theritchi petrirundhadhal ivar kanni nandasiriyan endrum sirappikkapattulladai manngulam kalvettal ariya mudindhadhu.
உக்ரைனில் உருசிய-சார்புக் கிளர்ச்சியாளர்கள் 1,200 சிறைக்கைதிகளை விடுவித்தனர். (பிபிசி)	ukiranil urusiya-saarbuk kilarchiyalargal 1,200 siraikaidhigalai veduvithanar. (BBC)
எனில்	ennil
வெண்மை நிறத்தூளாக திண்மநிலையில் காணப்படும் இச்சேர்மம் நீரில் கரையாது.	venmai niratholaga thinnmanilayil kanappadum issermamm neerill karaiyadhu.
குறுகிய கால சொத்திருப்புகள் மற்றும் குறுகிய கால கடன்களுக்கு இடையில் ஒரு சமநிலையைத் தக்கவைப்பது மிகவும் முக்கியமானது.	kurigiya kala sothruppugal matrum kurugiya kala kadangalukku idaiyil oru samanilayai thakkavaipadhu migavum mukiayamanadhu.
1678: புனித ஜார்ஜ் கோட்டையின் தென்பகுதியில் புனித மேரி தேவாலயம் கட்ட அடிக்கல் நடப்பட்டது.	1678: punitha geogre koottaiyin thenpaguthiyil punitha mary thevalayam katta adikal nadapattadhu.
அவ்வாறான கதிர்களிலிருச்து கதிரியல் துறையில் பணிபுரியும் பணியாளர்களையும் நோயாளிகளையும் பொதுமக்களையும் பாதுகாக்க வேண்டியதாக உள்ளது.	avvarana kathirkalirundhu kathiryiyal thuraiyil pannipuriyum paniyalarkalaiyum nooyaligalaiyum podhumakkalaiyum padhugaka vendiyadha ulladhu.
ஷெரின் ஜானு	sherin jhanu
அதனிலும் பண்டைக் காலங்களில் கப்பல்களில் பயணங்கள் மாதக்கணக்கில் இருந்தமையால் உடலின் நாளிடை இசைவும் பயணத்துடன் இணைந்து மாறியது.	adanillum pandaya kalangalill kappalgalill payanangal madhakanakkil irundhamaiyal udallin naalidai isaivum payanathudan innaindhu mariyadhu.
இலையை உலர்த்தி தூள் செய்து இலைச்சாற்றுடன் கலந்து தர காய்ச்சல் போகும்.	illaiyai ullarthi dhool seidhu illaisatrudan kalandhu tara kaichal poogum.
ஒரு முறை ஒரு மேடை நிகழ்ச்சியில் அவர்கள் திறமையை காட்டுவதற்கு அவர்களுக்கு ஒரு சந்தர்ப்பம் கிடைக்கிறது.	oru murai oru meedai nigazchiyil avargal thiramaiyai kattuvatharikku avargaluikku oru sandharippam kidaikiradhu.
ஆணும், பெண்ணும் சமம், அவர்கள் வேறுபாடின்றி, சரிநிகர் சமமாக வாழும் முறையை வலியுறுத்தியது.	aannum, pennum samam, avarkal verupadinri, sarinigar sammaga vazhum muraiyai valiyuruthiyadhu.
1978 இல் ம.கோ.இரா. தலைமையில் அமைந்த அரசு பாவேந்தர் பாரதிதாசன் விருது வழங்கிச் சிறப்பித்தது.	1978 ill ma.ko.raa. Thalaimaiyil amaindha arasu pavendra bharathidasan viruthu vazhangi sirappithdhu.
