තන්ත්‍රයන්ට අනුව මහා තත්ත්වය (පරබ්‍රහ්මන්) ද්විත්වයන් මත රඳා පවතී.	Thanthrayanta anuwa maha thathwaya (parabrahman) dwithwayan matha randa pawathee.
මොවුන්ට ඉතා වේගයෙන් සංචරණය කිරීමේ හැකියාවක් පවතී.	Mowunta itha wegayen sancharanaya kireeme hekiyawak pawathi.
හඬකැවූ කතාමාලා සඳහා ප්‍රචලිත එම නාළිකාව තුළ මෙම කතාමාලාවට ඉහළ ප්‍රතිචාර හිමි විය.	Hadakawu kathamalaa sadaha prachalitha ema nalikawa thula mema kathamalawata ihala prathichara himi wiya.
ශල්‍යාගාර, ක්ෂුද්‍ර ජීවි පර්යේෂණාගාර වල කුටීර ආදියේ වාතයේ ඇති ක්ෂුද්‍ර ජීවීන් ඉවත් කිරීම සඳහා අධි කාර්යක්ෂම පෙරහන භාවිත කරයි.	Shalayagara, krushi jiwi paryeshanagara wala kitira adiye waathaye athi kshudra jiwin iwath kirima sadaha adi karyakshama perahana bhawitha karayi.
අමරසිංහම් පෙන්වා දුන් පරිදි මේ අභිචාරාත්මක ප‍්‍රතිකාර මගින් රෝගියාගේ රුධිරය මෙන්ම මනස පිරිසිදු වේ.	Amarasinha penawa dun paridi me abhicharathmaka prathikara magin rogiyage rudira menama manasa pirisidu we.
එහෙත් පවුලේ වෙනත් සාමාජිකයෙකු මියගිය විට ඔවුන්ව භුමදානය කරනු ලබයි.	Eheth pawle wenath samajikayeku miyagiya wita owunnwa bhu,adanaya karanu labayi.
ලිංගික ද්විරූපතාවයක් නොදක්වයි.	Lingika dwiruupathawak nodakwayi.
එහි ප්‍රතිඵල 1997දී දැඩි ප්‍රසිද්ධියට මෙක්ම තර්ක විතර්කවලට ද ලක් විය.	ehi prathipala 1997dee dadi prasiddiyata mekm tharka witharkawalata da lak wiya.
මේරිලන් විශ්ව විද්‍යාලයේ ජනමාධ්‍ය විද්‍යාලයේ අංශාධිපති රිස් ක්ලෙයරිල් - ඇමෙරිකන් ජර්නලිසන් රිවිවි හි මෙම අදහස දැඩිව විවේචනය කළේය.	Merilan wishwa widyalaye janamadhya widyalaye anshadipathi ris kleyaril - amarikan jarnalisn riwiwi hi mema adahas dadiwa wiwechanaya kaleya.
එය පෞද්ගලික ආයතනයකින් සපයන සේවාවක් වුවද අන්තර්ජාලය තුළ මුදල් හුවමාරු කිරීමේ අප්‍රකාශිත සම්මතය ලෙස හැඳින්විය හැකිය.	Eya pawdhgalika ayathanayakin sapayana sewawak wuwuada antharjalaya thula mudal huwamaru kirime aprakashitha sammatha lesa hadinwiya hakiya.
වොන් කෙම්පුන්, ඇඩ් එෆ්.	Won kempun, ad ef.
නාවික හමුදාවෙන් විශ්‍රාම ගැනීමත් සමගම මැකේන් දේශපාලන කටයුතු ඇරබීම සඳහා ඇරිසෝනා ප්‍රාන්තයට සංක්‍රමණය විය.	Nawika hamudawen wishrama ganimeth samagama Maken deshapalana katayuthu awambeema sadaha arisona pranthayata sankramanaya wiya.
මන්නාරම‍ට උතුරු දෙසින් තිබෙන පස් වර්ගයකි.	Mannaramata uthuru debasin thibena pas wargayaki.
මොවුන් දෙදෙනා අතර කොතරම් දැඩි බැදීමක් ආදරයක් තිබුණද ඔවුන් අතර කායික බැදීමක් හෝ විවාහයක් පැවතියේ නැත.	Mowun dedena athara kotharam dadi badeemak adarayak thibunada owun athara kayika badeemak hoo wiwahayak pawathiye natha.
මඩකලපුව	Madakalapuwa
දේශීය සංචාරකයන් වෙනුවෙන් ම වෙන්වුණු සුවිශේෂී පැකේජයන් කිහිපයක් ම හෝටලය සතුව තිබෙන බව කළමණාකාරවරයා පවසයි.	desheeya sancharakayan wenuwen ma wenwunu suwisheshi pakejayan kihipayak ma hotalaya sathuwa thibena bawa kalamanakarawaraya pawasai.
අපරව පෙරිකාඩියම මගින්;	Aparawa perikadiyama magin;
කඨින චීවර පූජාවේ ආනිසංස නාගිත ථෙරාපදානය තුළින් අපට මනා ව අවබෝධ කරගත හැක.	Katina chiwara pujawawe anisansa nagitha therapadanaya thulin apata mana wa awaboda karagatha haka.
එම රැස්වීමට පෙර යළිත් වරක් විදේශ ලේකම්වරුන් 1983 ජූලි මාසයේදී නව දිල්ලියට රැස්විය යුතු බවද තීරණය කෙරුණි.	Ema rasweemata pera yalith warak widesha lekamawarun 1983 july masayedi nawa dilliyata rasweya yuthu bawada theeranaya keruni.
පුත්තලම ප්‍රාදේශීය ලේකම් කොට්ඨාසය	Puththalama pradeshiya lekam kottasaya
ස්වයංපෝෂිත භාවය ඇතිවීම.	Swayanposhaitha bhawaya athiwema.
සිවිල් යුද්ධය අතරතුර, පාලක පොදු පෙරමුණට සහය පළ කිරීමේ, මධ්‍යස්ථ මත වාදී දෙමළ එක්සත් විමුක්ති පෙරමුණු පක්ෂ ප්‍රතිපත්තියට හාත්පසින්ම විරුද්ධ ලෙසින්, බෙදුම්වාදී සටන්කාමී කණ්ඩායමක්වූ දෙඊවිකො වෙත සහය පළ කෙරුණු, ඔහුගේ ප්‍රබල ප්‍රකාශ නිසා, ඉන්පසුව කුමාර් අවධානයට පාත්‍ර විය.	Siwil yuddaya atharathura, palaka podu peramunata sahaya pala kirime, madhyastha matha wadee demala eksath wimukthi peramuna paksha prathipaththiyata hathpasinma Wirudda lesin, bedumwadi satankami kandayamakwu derwiko wetha sahaya pala lerunu, ohuge prabala prakasha nisa, inpasuwa kumar awadhanayata pathra wiya.
පහර දෙනු.	Pahara denu.
සුළඟට ගසා ගෙන යන වැලි, වළාකුළු සහ ද්‍රව බිඳිති වැනි සංකීර්ණ ද්‍රව්‍යයන්ගේ ආකෘති අංශු පද්ධති ඇසුරෙන් නිර්මාණය කෙරේ.	Sulagata gasa gena yana wali, walakulu saha prawa bidithi wana sanskarana drawyayange akruthi anshu paddathi asuren nirmanaya kere.
ශාන්ති ලේඛා	Shanthi leka.
කියන්නන් ගතික උෂ්ණතවය හෝ ගතික ඝනත්වය වැනි සංකල්පය අතැයි සිතිය හැක. නමුත් ඒවා එසේ නොවේ.	Kiyannan gathika ushnathwaya ho gathika ganathwaya wani sankalpaya athayi sithiya haka. Namuth ewa ese nowe.
කම්කරු කොමසාරිස් තුමා විසින් අනුමත කරන ලද විශ්‍රාම වැටුප්, අර්ථසාධක, රක්ෂණය හා ඉතිරිකිරීම් ආදිය සදහා දායක මුදල්.	Kamkaru komasaris thuma wisin anumatha karan lada wishrama watup, arthasadaka, rakshana ha ithirikirim adiya sadaha dayaka mudal.
මෙමගින් සියළු පදනම් ඡායාරූප අන්තර්ජාලයට ඇතුළු කොට ඒවා වෙළදාම කිරීමට අවස්තාවන් සලසා දෙන ලදී.	Memagin siyalu padanam chayaruupa antharjalayata athulu kota ewa weladam kirimata awasthawan salasa dena ladi.
කොවිලක ප්‍රධාන දොරටුවට ඉහලින් කෝපුරම් පිහිටා ඇත.	Kowilaka pradana doratuwa ihalin kopuram pihita atha.
නික්සන් පරිපාලනයෙහි ජාතික ආරක්ෂක මණ්ඩලයෙහි විශේෂ සහයකයෙක් ලෙසින් සහ හෙන්රි කිසිංගර් සඳහා පරිපාලන සහායකයෙක් ලෙසින් ඔහු සේවය කළේය.	Niksan paripalanayehi jathika arakshaka mandalyehi wishesha sahayakayek lesin saha henri kisingar sadaha paripalana sahayakayek lesin ohu sewaya kaleya.
පරිගණක ආශ්‍රිත ID පිරික්සුම්කරණ සාපේක්ෂව අඩු දත්ත පිරිසිදු කරන ඉතා අඩු මුදලකට ලබාගත හැකිය.	Pariganaka ashritha id piriksumkarana sapekshawa adu daththa pirisidu karana itha adu mudalakata labagatha hakiya.
ය ඔවුන්ගේ අති දරුණු මරාගෙන මැරෙන බෝම්බකරුවන් යොදා ගෙන කොළඹ මහ බැංකුවට ප්‍රහාරයක් එල්ල කළ අතර එයින් 90 දෙනෙකු මිය ගොස් 1400ක් තුවාල ලදහ.	Ya owunge athi darunu maragena marena bombakaruwan yoda gena kolaba maha bankuwatata praharayak ella kala athara eyin 90 deneku miya gos 1400k thiwala ladaha.
විහාර මහා දේවිය පුතෙකු වැදුවාය.	Wihara maha dewiya putheku waduwaya.
දත්ත එකතූන් දත්ත කට්ටල ලෙස හැඳින්වේ.	Daththa ekathun daththa kattala lesa handinwe.
ඩී. ඩී. ‍ටී. (එහි සාමාන්‍ය නාමය ඩයික්ලෝරෝ ඩයිෆීනයිල් ට්‍රයික්ලෝරෝඑතේන් ය.) යනු කෘත්‍රීම පලිබෝධනාශයකි.	D. D. T (ehi samanya namaya dayikloro dayifinyil treyikloroennen ya.) yanu kruthima palibodanashaki.
“මේ ලෝකයා යහපත් තැනක් කීරීමට රැන්ඩි ගේ කැපවීම, ඔහුව හමුවූ ඕනෑම කෙනෙකුට ස්වයංසිද්ධ වන කාරණයකි.”	"me lokaya yahapath thanahthak kiriimata randi ge kapaweema, ohuwa hamuwu onama kenekuta swayansidda wana karanayaki."
මෙම කාලය අතරතුර මහා පිරමීඩ හා විවිධ චාරිත්‍රානු කූල සංකිර්ණ ලා වෙන්ටා හි ගොඩ නැගුණි.	Mema kalaya anathura maha piramida ha wiwida charithranu kuula sanskirna la wenta hi goda naguni.
